passenger_rates:	2704
{	5004	5123	1.99	}	
{	5003	5123	0.00	}	
{	5002	5123	2.00	}	
{	5001	5123	1.18	}	
{	5119	5123	54.80	}	
{	5118	5123	12.96	}	
{	5117	5123	15.52	}	
{	5116	5123	8.44	}	
{	5115	5123	8.03	}	
{	5114	5123	4.98	}	
{	5113	5123	1.31	}	
{	5112	5123	5.36	}	
{	5111	5123	7.01	}	
{	5110	5123	11.33	}	
{	5109	5123	10.37	}	
{	5108	5123	1.45	}	
{	5107	5123	1.84	}	
{	5106	5123	1.93	}	
{	5105	5123	1.60	}	
{	5104	5123	5.90	}	
{	5103	5123	2.53	}	
{	5102	5123	5.84	}	
{	5101	5123	62.65	}	
{	5126	5122	190.81	}	
{	5125	5122	125.19	}	
{	5124	5122	111.27	}	
{	5123	5122	236.05	}	
{	5122	5122	0.00	}	
{	5121	5122	49.82	}	
{	5120	5122	24.04	}	
{	5013	5122	12.39	}	
{	5014	5122	11.09	}	
{	5015	5122	17.43	}	
{	5016	5122	111.99	}	
{	5017	5122	35.65	}	
{	5018	5122	69.95	}	
{	5019	5122	7.60	}	
{	5020	5122	6.51	}	
{	5306	5122	17.60	}	
{	5305	5122	12.40	}	
{	5304	5122	16.49	}	
{	5303	5122	15.01	}	
{	5302	5122	8.57	}	
{	5301	5122	6.57	}	
{	5012	5122	4.83	}	
{	5011	5122	15.30	}	
{	5010	5122	45.19	}	
{	5009	5122	3.12	}	
{	5008	5122	16.45	}	
{	5007	5122	1.07	}	
{	5006	5122	7.98	}	
{	5005	5122	4.70	}	
{	5004	5122	5.31	}	
{	5003	5122	0.64	}	
{	5002	5122	4.90	}	
{	5001	5122	1.96	}	
{	5119	5122	32.12	}	
{	5118	5122	6.63	}	
{	5117	5122	5.61	}	
{	5116	5122	2.93	}	
{	5115	5122	3.20	}	
{	5114	5122	2.05	}	
{	5113	5122	0.50	}	
{	5112	5122	2.78	}	
{	5111	5122	3.76	}	
{	5110	5122	5.44	}	
{	5109	5122	2.40	}	
{	5108	5122	0.39	}	
{	5107	5122	0.49	}	
{	5106	5122	0.51	}	
{	5105	5122	0.48	}	
{	5104	5122	2.25	}	
{	5103	5122	0.79	}	
{	5102	5122	2.26	}	
{	5101	5122	22.66	}	
