,0,1,2,3,4,5
0,250,20,"['0', '120', '120', '120', '60', '120', '60', '120', '120', '180', '120', '180', '120', '120', '60', '120', '60', '120', '120', '60']",180,450,32
1,251,29,"['0', '60', '60', '120', '60', '120', '120', '120', '180', '120', '120', '120', '60', '60', '120', '60', '60', '60', '60', '60', '60', '60', '60', '60', '60', '120', '60', '60', '60']",180,450,32
