,0,1,2,3,4
0,50,5021,5022,22,"['50215000', '50005001', '50015002', '50025003', '50035004', '50045005', '50055006', '50065007', '50075008', '50085009', '50095010', '50105011', '501150132', '501325013', '50135014', '50145015', '50155016', '50165017', '50175018', '50185019', '50195020', '50205022']"
1,250,5023,5024,22,"['50235020', '50205019', '50195018', '50185017', '50175016', '50165015', '50155014', '50145013', '501350132', '501325011', '50115010', '50105009', '50095008', '50085007', '50075006', '50065005', '50055004', '50045003', '50035002', '50025001', '50015000', '50005024']"
2,54,5023,5131,17,"['50235020', '50205019', '50195018', '50185017', '50175016', '50165015', '50155014', '50145013', '501350132', '501325012', '50125119', '51195120', '51205121', '51215122', '51225123', '51235124', '51245131']"
3,51,5130,5131,30,"['51305100', '51005101', '51015102', '51025103', '51035104', '51045105', '51055106', '51065107', '51075108', '51085109', '51095110', '51105111', '51115112', '51125113', '51135114', '51145115', '51155116', '51165117', '51175118', '51185009', '50095010', '50105011', '50115012', '50125119', '51195120', '51205121', '51215122', '51225123', '51235124', '51245131']"
4,254,5132,5022,17,"['51325124', '51245123', '51235122', '51225121', '51215120', '51205119', '51195012', '501250132', '501325013', '50135014', '50145015', '50155016', '50165017', '50175018', '50185019', '50195020', '50205022']"
5,251,5132,5133,30,"['51325124', '51245123', '51235122', '51225121', '51215120', '51205119', '51195012', '50125011', '50115010', '50105009', '50095118', '51185117', '51175116', '51165115', '51155114', '51145113', '51135112', '51125111', '51115110', '51105109', '51095108', '51085107', '51075106', '51065105', '51055104', '51045103', '51035102', '51025101', '51015100', '51005133']"
6,253,5132,5311,16,"['51325124', '51245123', '51235122', '51225121', '51215120', '51205119', '51195012', '501250132', '501325013', '50135305', '53055304', '53045303', '53035302', '53025301', '53015300', '53005311']"
7,53,5310,5131,16,"['53105300', '53005301', '53015302', '53025303', '53035304', '53045305', '53055013', '501350132', '501325012', '50125119', '51195120', '51205121', '51215122', '51225123', '51235124', '51245131']"
