,0,1
0,50005001,120
1,50005024,120
2,50015000,120
3,50015002,120
4,50025001,120
5,50025003,120
6,50035002,120
7,50035004,120
8,50045003,120
9,50045005,120
10,50055004,120
11,50055006,120
12,50065005,120
13,50065007,120
14,50075006,120
15,50075008,120
16,50085007,120
17,50085009,120
18,50095008,120
19,50095010,120
20,50095118,120
21,50105009,120
22,50105011,120
23,50115010,120
24,50115012,120
25,50125011,120
26,50125119,120
27,50135014,120
28,50135305,120
29,50145013,120
30,50145015,120
31,50155014,120
32,50155016,120
33,50165015,120
34,50165017,120
35,50175016,120
36,50175018,120
37,50185017,120
38,50185019,120
39,50195018,120
40,50195020,120
41,50205019,120
42,50205022,120
43,50215000,120
44,50235020,120
45,51005101,120
46,51005133,120
47,51015100,120
48,51015102,120
49,51025101,120
50,51025103,120
51,51035102,120
52,51035104,120
53,51045103,120
54,51045105,120
55,51055104,120
56,51055106,120
57,51065105,120
58,51065107,120
59,51075106,120
60,51075108,120
61,51085107,120
62,51085109,120
63,51095108,120
64,51095110,120
65,51105109,120
66,51105111,120
67,51115110,120
68,51115112,120
69,51125111,120
70,51125113,120
71,51135112,120
72,51135114,120
73,51145113,120
74,51145115,120
75,51155114,120
76,51155116,120
77,51165115,120
78,51165117,120
79,51175116,120
80,51175118,120
81,51185009,120
82,51185117,120
83,51195012,120
84,51195120,120
85,51205119,120
86,51205121,120
87,51215120,120
88,51215122,120
89,51225121,120
90,51225123,120
91,51235122,120
92,51235124,120
93,51245123,120
94,51245131,120
95,51305100,120
96,51325124,120
97,53005301,120
98,53005311,120
99,53015300,120
100,53015302,120
101,53025301,120
102,53025303,120
103,53035302,120
104,53035304,120
105,53045303,120
106,53045305,120
107,53055013,120
108,53055304,120
109,53105300,120
110,501150132,120
111,501250132,120
112,501325011,120
113,501325012,120
114,501325013,120
115,501350132,120
