links: 116
periods: 1
periodlength: 15000
{	50005001	120	}
{	50005024	120	}
{	50015000	120	}
{	50015002	120	}
{	50025001	120	}
{	50025003	120	}
{	50035002	120	}
{	50035004	120	}
{	50045003	120	}
{	50045005	120	}
{	50055004	120	}
{	50055006	120	}
{	50065005	120	}
{	50065007	120	}
{	50075006	120	}
{	50075008	120	}
{	50085007	120	}
{	50085009	120	}
{	50095008	120	}
{	50095010	120	}
{	50095118	120	}
{	50105009	120	}
{	50105011	120	}
{	50115010	120	}
{	50115012	120	}
{	50125011	120	}
{	50125119	120	}
{	50135014	120	}
{	50135305	120	}
{	50145013	120	}
{	50145015	120	}
{	50155014	120	}
{	50155016	120	}
{	50165015	120	}
{	50165017	120	}
{	50175016	120	}
{	50175018	120	}
{	50185017	120	}
{	50185019	120	}
{	50195018	120	}
{	50195020	120	}
{	50205019	120	}
{	50205022	120	}
{	50215000	120	}
{	50235020	120	}
{	51005101	120	}
{	51005133	120	}
{	51015100	120	}
{	51015102	120	}
{	51025101	120	}
{	51025103	120	}
{	51035102	120	}
{	51035104	120	}
{	51045103	120	}
{	51045105	120	}
{	51055104	120	}
{	51055106	120	}
{	51065105	120	}
{	51065107	120	}
{	51075106	120	}
{	51075108	120	}
{	51085107	120	}
{	51085109	120	}
{	51095108	120	}
{	51095110	120	}
{	51105109	120	}
{	51105111	120	}
{	51115110	120	}
{	51115112	120	}
{	51125111	120	}
{	51125113	120	}
{	51135112	120	}
{	51135114	120	}
{	51145113	120	}
{	51145115	120	}
{	51155114	120	}
{	51155116	120	}
{	51165115	120	}
{	51165117	120	}
{	51175116	120	}
{	51175118	120	}
{	51185009	120	}
{	51185117	120	}
{	51195012	120	}
{	51195120	120	}
{	51205119	120	}
{	51205121	120	}
{	51215120	120	}
{	51215122	120	}
{	51225121	120	}
{	51225123	120	}
{	51235122	120	}
{	51235124	120	}
{	51245123	120	}
{	51245131	120	}
{	51305100	120	}
{	51325124	120	}
{	53005301	120	}
{	53005311	120	}
{	53015300	120	}
{	53015302	120	}
{	53025301	120	}
{	53025303	120	}
{	53035302	120	}
{	53035304	120	}
{	53045303	120	}
{	53045305	120	}
{	53055013	120	}
{	53055304	120	}
{	53105300	120	}
{	501150132	120	}
{	501250132	120	}
{	501325011	120	}
{	501325012	120	}
{	501325013	120	}
{	501350132	120	}

