,Line_ID,Trip_ID,Vehicle_ID,Start_stop_ID,Start_stop_name,End_stop_id,End_stop_name,Passenger_load,Unnamed: 8
0,50,5001,-1,5001,Isolatorweg,5002,Station_Sloterdijk,0,
1,50,5001,-1,5002,Station_Sloterdijk,5003,Burg_De_Vlugtlaan,0,
2,50,5001,-1,5003,Burg_De_Vlugtlaan,5004,Jan_van_Galenstraat,0,
3,50,5001,-1,5004,Jan_van_Galenstraat,5005,Postjesweg,0,
4,50,5001,-1,5005,Postjesweg,5006,Station_Lelylaan,0,
5,50,5001,-1,5006,Station_Lelylaan,5007,Heemstedestraat,0,
6,50,5001,-1,5007,Heemstedestraat,5008,Henk_Sneevlietweg,0,
7,50,5001,-1,5008,Henk_Sneevlietweg,5009,Amstelreenseweg,0,
8,50,5001,-1,5009,Amstelreenseweg,5010,Station_Zuid,0,
9,50,5001,-1,5010,Station_Zuid,5011,Station_RAI,0,
10,50,5001,-1,5011,Station_RAI,5012,Overamstel,0,
11,50,5001,-1,5012,Overamstel,5013,Van_der_Madeweg,0,
12,50,5001,-1,5013,Van_der_Madeweg,5014,Station_Duivendrecht,0,
13,50,5001,-1,5014,Station_Duivendrecht,5015,Strandvliet,0,
14,50,5001,-1,5015,Strandvliet,5016,Station_Bijlmer_ArenA,0,
15,50,5001,-1,5016,Station_Bijlmer_ArenA,5017,Bullewijk,0,
16,50,5001,-1,5017,Bullewijk,5018,Station_Holendrecht,0,
17,50,5001,-1,5018,Station_Holendrecht,5019,Reigersbos,0,
18,50,5001,-1,5019,Reigersbos,5020,Gein,0,
19,50,5002,-1,5001,Isolatorweg,5002,Station_Sloterdijk,0,
20,50,5002,-1,5002,Station_Sloterdijk,5003,Burg_De_Vlugtlaan,0,
21,50,5002,-1,5003,Burg_De_Vlugtlaan,5004,Jan_van_Galenstraat,0,
22,50,5002,-1,5004,Jan_van_Galenstraat,5005,Postjesweg,0,
23,50,5002,-1,5005,Postjesweg,5006,Station_Lelylaan,0,
24,50,5002,-1,5006,Station_Lelylaan,5007,Heemstedestraat,0,
25,50,5002,-1,5007,Heemstedestraat,5008,Henk_Sneevlietweg,0,
26,50,5002,-1,5008,Henk_Sneevlietweg,5009,Amstelreenseweg,0,
27,50,5002,-1,5009,Amstelreenseweg,5010,Station_Zuid,0,
28,50,5002,-1,5010,Station_Zuid,5011,Station_RAI,0,
29,50,5002,-1,5011,Station_RAI,5012,Overamstel,0,
30,50,5002,-1,5012,Overamstel,5013,Van_der_Madeweg,0,
31,50,5002,-1,5013,Van_der_Madeweg,5014,Station_Duivendrecht,0,
32,50,5002,-1,5014,Station_Duivendrecht,5015,Strandvliet,0,
33,50,5002,-1,5015,Strandvliet,5016,Station_Bijlmer_ArenA,0,
34,50,5002,-1,5016,Station_Bijlmer_ArenA,5017,Bullewijk,0,
35,50,5002,-1,5017,Bullewijk,5018,Station_Holendrecht,0,
36,50,5002,-1,5018,Station_Holendrecht,5019,Reigersbos,0,
37,50,5002,-1,5019,Reigersbos,5020,Gein,0,
38,50,5003,-1,5001,Isolatorweg,5002,Station_Sloterdijk,0,
39,50,5003,-1,5002,Station_Sloterdijk,5003,Burg_De_Vlugtlaan,0,
40,50,5003,-1,5003,Burg_De_Vlugtlaan,5004,Jan_van_Galenstraat,0,
41,50,5003,-1,5004,Jan_van_Galenstraat,5005,Postjesweg,0,
42,50,5003,-1,5005,Postjesweg,5006,Station_Lelylaan,0,
43,50,5003,-1,5006,Station_Lelylaan,5007,Heemstedestraat,0,
44,50,5003,-1,5007,Heemstedestraat,5008,Henk_Sneevlietweg,0,
45,50,5003,-1,5008,Henk_Sneevlietweg,5009,Amstelreenseweg,0,
46,50,5003,-1,5009,Amstelreenseweg,5010,Station_Zuid,0,
47,50,5003,-1,5010,Station_Zuid,5011,Station_RAI,0,
48,50,5003,-1,5011,Station_RAI,5012,Overamstel,0,
49,50,5003,-1,5012,Overamstel,5013,Van_der_Madeweg,0,
50,50,5003,-1,5013,Van_der_Madeweg,5014,Station_Duivendrecht,0,
51,50,5003,-1,5014,Station_Duivendrecht,5015,Strandvliet,0,
52,50,5003,-1,5015,Strandvliet,5016,Station_Bijlmer_ArenA,0,
53,50,5003,-1,5016,Station_Bijlmer_ArenA,5017,Bullewijk,0,
54,50,5003,-1,5017,Bullewijk,5018,Station_Holendrecht,0,
55,50,5003,-1,5018,Station_Holendrecht,5019,Reigersbos,0,
56,50,5003,-1,5019,Reigersbos,5020,Gein,0,
57,50,5004,-1,5001,Isolatorweg,5002,Station_Sloterdijk,0,
58,50,5004,-1,5002,Station_Sloterdijk,5003,Burg_De_Vlugtlaan,0,
59,50,5004,-1,5003,Burg_De_Vlugtlaan,5004,Jan_van_Galenstraat,0,
60,50,5004,-1,5004,Jan_van_Galenstraat,5005,Postjesweg,0,
61,50,5004,-1,5005,Postjesweg,5006,Station_Lelylaan,0,
62,50,5004,-1,5006,Station_Lelylaan,5007,Heemstedestraat,0,
63,50,5004,-1,5007,Heemstedestraat,5008,Henk_Sneevlietweg,0,
64,50,5004,-1,5008,Henk_Sneevlietweg,5009,Amstelreenseweg,0,
65,50,5004,-1,5009,Amstelreenseweg,5010,Station_Zuid,0,
66,50,5004,-1,5010,Station_Zuid,5011,Station_RAI,0,
67,50,5004,-1,5011,Station_RAI,5012,Overamstel,0,
68,50,5004,-1,5012,Overamstel,5013,Van_der_Madeweg,0,
69,50,5004,-1,5013,Van_der_Madeweg,5014,Station_Duivendrecht,0,
70,50,5004,-1,5014,Station_Duivendrecht,5015,Strandvliet,0,
