,Line_ID,Upstream_stop_ID,Upstream_stop_name,Downstream_stop_ID,Downstream_stop_name,Passenger_load,Unnamed: 6
29,250,25019,Reigersbos,25018,Station_Holendrecht,426,
30,250,25010,Station_Zuid,25009,Amstelreenseweg,3983,
31,250,25015,Strandvliet,25014,Station_Duivendrecht,4053,
32,250,25013,Van_der_Madeweg,25012,Overamstel,3049,
33,250,25014,Station_Duivendrecht,25013,Van_der_Madeweg,3152,
34,250,25012,Overamstel,25011,Station_RAI,3146,
35,250,25020,Gein,25019,Reigersbos,202,
36,250,25009,Amstelreenseweg,25008,Henk_Sneevlietweg,4709,
37,250,25016,Station_Bijlmer_ArenA,25015,Strandvliet,4119,
38,51,5010,Station_Zuid,5011,Station_RAI,2779,
39,51,5011,Station_RAI,5012,Overamstel,2991,
40,51,5012,Overamstel,5120,Spaklerweg,3077,
41,51,5102,Sacharovlaan,5103,Spinnerij,989,
42,51,5106,Meent,5107,Gondel,1165,
43,51,5104,Poortwachter,5105,Brink,1136,
44,51,5103,Spinnerij,5104,Poortwachter,1039,
45,51,5107,Gondel,5108,Marne,1194,
46,51,5108,Marne,5109,Sportlaan,1214,
47,51,5109,Sportlaan,5110,Ouderkerkerlaan,1309,
48,51,5101,Westwijk,5102,Sacharovlaan,892,
49,51,5105,Brink,5106,Meent,1155,
50,51,5122,Wibautstraat,5123,Weesperplein,2708,
51,51,5125,Nieuwmarkt,5126,Centraal_Station,1725,
52,51,5116,Uilenstede,5117,Van_Boshuizenstraat,1716,
53,51,5124,Waterlooplein,5125,Nieuwmarkt,2666,
54,51,5117,Van_Boshuizenstraat,5118,A.J._Ernststraat,1817,
55,51,5118,A.J._Ernststraat,5119,De_Boelelaan/VU,1952,
56,51,5111,Amstelveen_centrum,5112,Oranjebaan,1501,
57,51,5120,Spaklerweg,5121,Amstelstation,3089,
58,51,5112,Oranjebaan,5113,Onderuit,1547,
59,51,5121,Amstelstation,5122,Wibautstraat,2795,
60,51,5113,Onderuit,5114,Zonnestein,1558,
61,51,5123,Weesperplein,5124,Waterlooplein,2704,
62,51,5115,Kronenburg,5116,Uilenstede,1631,
63,51,5119,De_Boelelaan/VU,5010,Station_Zuid,2473,
64,51,5110,Ouderkerkerlaan,5111,Amstelveen_centrum,1432,
65,51,5114,Zonnestein,5115,Kronenburg,1556,
66,251,25110,Ouderkerkerlaan,25109,Sportlaan,1990,
67,251,25105,Brink,25104,Poortwachter,1112,
68,251,25111,Amstelveen_centrum,25110,Ouderkerkerlaan,2029,
69,251,25011,Station_RAI,25010,Station_Zuid,2688,
70,251,25010,Station_Zuid,25119,De_Boelelaan/VU,2871,
71,251,25102,Sacharovlaan,25101,Westwijk,543,
72,251,25103,Spinnerij,25102,Sacharovlaan,882,
73,251,25012,Overamstel,25011,Station_RAI,2459,
74,251,25104,Poortwachter,25103,Spinnerij,925,
75,251,25106,Meent,25105,Brink,1196,
76,251,25107,Gondel,25106,Meent,1317,
77,251,25108,Marne,25107,Gondel,1486,
78,251,25109,Sportlaan,25108,Marne,1815,
79,251,25124,Waterlooplein,25123,Weesperplein,1590,
80,251,25120,Spaklerweg,25012,Overamstel,2289,
81,251,25123,Weesperplein,25122,Wibautstraat,2328,
82,251,25113,Onderuit,25112,Oranjebaan,2159,
83,251,25112,Oranjebaan,25111,Amstelveen_centrum,2085,
84,251,25114,Zonnestein,25113,Onderuit,2349,
85,251,25115,Kronenburg,25114,Zonnestein,2450,
86,251,25117,Van_Boshuizenstraat,25116,Uilenstede,2707,
87,251,25121,Amstelstation,25120,Spaklerweg,2369,
88,251,25125,Nieuwmarkt,25124,Waterlooplein,1295,
89,251,25118,A.J._Ernststraat,25117,Van_Boshuizenstraat,2918,
90,251,25119,De_Boelelaan/VU,25118,A.J._Ernststraat,2908,
91,251,25122,Wibautstraat,25121,Amstelstation,2384,
92,251,25126,Centraal_Station,25125,Nieuwmarkt,882,
93,251,25116,Uilenstede,25115,Kronenburg,2565,
94,53,5122,Wibautstraat,5123,Weesperplein,2181,
95,53,5305,Station_Diemen-Zuid,5306,Venserpolder,1413,
96,53,5125,Nieuwmarkt,5126,Centraal_Station,1791,
97,53,5306,Venserpolder,25013,Van_der_Madeweg,1709,
98,53,5124,Waterlooplein,5125,Nieuwmarkt,2488,
99,53,5120,Spaklerweg,5121,Amstelstation,2083,
100,53,5302,Kraaiennest_station,5303,Station_Ganzenhoef,414,
101,53,5301,Gaasperplas,5302,Kraaiennest_station,229,
102,53,5121,Amstelstation,5122,Wibautstraat,2006,
103,53,5123,Weesperplein,5124,Waterlooplein,2321,
104,53,5303,Station_Ganzenhoef,5304,Verrijn_Stuartweg,748,
105,53,5304,Verrijn_Stuartweg,5305,Station_Diemen-Zuid,1168,
106,53,25013,Van_der_Madeweg,5120,Spaklerweg,1973,
107,253,5013,Van_der_Madeweg,25306,Venserpolder,2899,
108,253,25124,Waterlooplein,25123,Weesperplein,1615,
109,253,25302,Kraaiennest_station,25301,Gaasperplas,386,
110,253,25303,Station_Ganzenhoef,25302,Kraaiennest_station,902,
111,253,25120,Spaklerweg,5013,Van_der_Madeweg,2390,
112,253,25123,Weesperplein,25122,Wibautstraat,2356,
113,253,25305,Station_Diemen-Zuid,25304,Verrijn_Stuartweg,1817,
114,253,25304,Verrijn_Stuartweg,25303,Station_Ganzenhoef,1823,
115,253,25306,Venserpolder,25305,Station_Diemen-Zuid,2246,
116,253,25121,Amstelstation,25120,Spaklerweg,2412,
117,253,25125,Nieuwmarkt,25124,Waterlooplein,1313,
118,253,25122,Wibautstraat,25121,Amstelstation,2325,
119,253,25126,Centraal_Station,25125,Nieuwmarkt,902,
120,54,5122,Wibautstraat,5123,Weesperplein,3430,
121,54,5125,Nieuwmarkt,5126,Centraal_Station,2102,
122,54,5124,Waterlooplein,5125,Nieuwmarkt,3047,
123,54,5120,Spaklerweg,5121,Amstelstation,3789,
124,54,5121,Amstelstation,5122,Wibautstraat,3419,
125,54,5123,Weesperplein,5124,Waterlooplein,3059,
126,54,25018,Station_Holendrecht,25017,Bullewijk,1358,
127,54,25017,Bullewijk,25016,Station_Bijlmer_ArenA,1972,
128,54,25019,Reigersbos,25018,Station_Holendrecht,323,
129,54,25015,Strandvliet,25014,Station_Duivendrecht,3772,
130,54,25013,Van_der_Madeweg,5120,Spaklerweg,3685,
131,54,25014,Station_Duivendrecht,25013,Van_der_Madeweg,3760,
132,54,25020,Gein,25019,Reigersbos,159,
133,54,25016,Station_Bijlmer_ArenA,25015,Strandvliet,3314,
134,254,5013,Van_der_Madeweg,5014,Station_Duivendrecht,2582,
135,254,5014,Station_Duivendrecht,5015,Strandvliet,2418,
136,254,5015,Strandvliet,5016,Station_Bijlmer_ArenA,2265,
137,254,5016,Station_Bijlmer_ArenA,5017,Bullewijk,1784,
138,254,5019,Reigersbos,5020,Gein,497,
139,254,5018,Station_Holendrecht,5019,Reigersbos,1084,
140,254,5017,Bullewijk,5018,Station_Holendrecht,1531,
141,254,25124,Waterlooplein,25123,Weesperplein,1351,
142,254,25120,Spaklerweg,5013,Van_der_Madeweg,2347,
143,254,25123,Weesperplein,25122,Wibautstraat,1896,
144,254,25121,Amstelstation,25120,Spaklerweg,2149,
145,254,25125,Nieuwmarkt,25124,Waterlooplein,1136,
146,254,25122,Wibautstraat,25121,Amstelstation,1866,
147,254,25126,Centraal_Station,25125,Nieuwmarkt,795,
