,",Origin_stop_ID,Origin_stop_name,Destination_stop_ID,Destination_stop_name,Nr_pass_completed,Average_travel_time,Average_number_boardings,Unnamed: 7"
78,"78,5112,Oranjebaan,5125,Nieuwmarkt,11,1927.49,1,"
79,"79,5111,Amstelveen_centrum,5125,Nieuwmarkt,17,1927.99,1,"
80,"80,5110,Ouderkerkerlaan,5125,Nieuwmarkt,11,2088.18,1,"
81,"81,5109,Sportlaan,5125,Nieuwmarkt,10,2087.49,1,"
82,"82,5108,Marne,5125,Nieuwmarkt,2,2303.64,1,"
83,"83,5107,Gondel,5125,Nieuwmarkt,2,2195.62,1,"
84,"84,5106,Meent,5125,Nieuwmarkt,3,2194.14,1,"
85,"85,5105,Brink,5125,Nieuwmarkt,1,2214.4,1,"
86,"86,5104,Poortwachter,5125,Nieuwmarkt,5,2326.68,1,"
87,"87,5103,Spinnerij,5125,Nieuwmarkt,4,2539.07,1,"
88,"88,5102,Sacharovlaan,5125,Nieuwmarkt,6,2589.51,1,"
89,"89,5101,Westwijk,5125,Nieuwmarkt,118,2629.25,1,"
90,"90,5126,Centraal_Station,5124,Waterlooplein,194,211.375,1,"
91,"91,5125,Nieuwmarkt,5124,Waterlooplein,108,159.348,1,"
92,"92,5123,Weesperplein,5124,Waterlooplein,57,220.883,1,"
93,"93,5122,Wibautstraat,5124,Waterlooplein,52,258.885,1,"
94,"94,5121,Amstelstation,5124,Waterlooplein,91,390.448,1,"
95,"95,5120,Spaklerweg,5124,Waterlooplein,17,487.642,1,"
96,"96,5013,Van_der_Madeweg,5124,Waterlooplein,10,757.238,1,"
97,"97,5014,Station_Duivendrecht,5124,Waterlooplein,10,703.806,1,"
98,"98,5015,Strandvliet,5124,Waterlooplein,21,912.806,1.19048,"
99,"99,5016,Station_Bijlmer_ArenA,5124,Waterlooplein,114,964.665,1.41228,"
100,"100,5017,Bullewijk,5124,Waterlooplein,45,1071.24,1.57778,"
101,"101,5018,Station_Holendrecht,5124,Waterlooplein,57,1169.55,1.42105,"
102,"102,5019,Reigersbos,5124,Waterlooplein,12,1278.56,1.33333,"
103,"103,5020,Gein,5124,Waterlooplein,16,1428.72,1.5625,"
104,"104,5306,Venserpolder,5124,Waterlooplein,25,844.376,1,"
105,"105,5305,Station_Diemen-Zuid,5124,Waterlooplein,24,959.414,1,"
106,"106,5304,Verrijn_Stuartweg,5124,Waterlooplein,14,1122.81,1,"
107,"107,5303,Station_Ganzenhoef,5124,Waterlooplein,9,1045.57,1,"
108,"108,5302,Kraaiennest_station,5124,Waterlooplein,3,1130.53,1,"
109,"109,5301,Gaasperplas,5124,Waterlooplein,12,1245.49,1,"
110,"110,5012,Overamstel,5124,Waterlooplein,2,750.359,1,"
111,"111,5011,Station_RAI,5124,Waterlooplein,21,1003.02,1,"
112,"112,5010,Station_Zuid,5124,Waterlooplein,31,1041.2,1.32258,"
113,"113,5008,Henk_Sneevlietweg,5124,Waterlooplein,2,1619.4,2.5,"
114,"114,5119,De_Boelelaan/VU,5124,Waterlooplein,20,1227.77,1,"
115,"115,5118,A.J._Ernststraat,5124,Waterlooplein,12,1334.05,1,"
116,"116,5117,Van_Boshuizenstraat,5124,Waterlooplein,11,1493.2,1,"
117,"117,5116,Uilenstede,5124,Waterlooplein,6,1561.72,1,"
118,"118,5115,Kronenburg,5124,Waterlooplein,3,1578.09,1,"
119,"119,5114,Zonnestein,5124,Waterlooplein,3,1805.52,1,"
120,"120,5113,Onderuit,5124,Waterlooplein,1,1744.63,1,"
121,"121,5112,Oranjebaan,5124,Waterlooplein,1,1747.3,1,"
122,"122,5111,Amstelveen_centrum,5124,Waterlooplein,1,2036.12,1,"
123,"123,5110,Ouderkerkerlaan,5124,Waterlooplein,4,1963.33,1,"
124,"124,5109,Sportlaan,5124,Waterlooplein,10,2060.79,1,"
125,"125,5108,Marne,5124,Waterlooplein,1,2023.96,1,"
126,"126,5107,Gondel,5124,Waterlooplein,2,2022.34,1,"
127,"127,5105,Brink,5124,Waterlooplein,1,2000.24,1,"
128,"128,5104,Poortwachter,5124,Waterlooplein,4,2291.95,1,"
129,"129,5103,Spinnerij,5124,Waterlooplein,1,2380.62,1,"
