Line_ID	Average_headway	Average_dwell_time	Average_abs_schedule_deviation	Average_waiting_time_per_stop	Total_pass_boarding	Standard_deviation_headway(averaged_over_stops)	Standard_deviation_dwell_time(averaged_over_stops)	Share_on_time	Share_early	Share_late	Total_pass_riding_time	Total_pass_dwell_time	Total_pass_waiting_time	Total_pass_holding_time	Control_objective_functon_value	Total_pass_weighted_in_vehicle_time	
50	450.84	16.6091	64.6209	2.64374	196.122	36.1384	1.32165	0.959259	0	0.0407407	3.73766e+06	585113	1.36192e+06	-1.37401e-10	5.68469e+06	4.12982e+06	
250	447.968	17.1919	139.755	5.91454	341.242	57.3857	1.84396	0.791005	0	0.208995	6.91221e+06	1.06757e+06	2.35825e+06	-2.11383e-10	1.0338e+07	9.34824e+06	
51	451.155	16.1729	34.6873	0.471675	193.298	29.7845	1.15551	0.866239	0.133761	0	4.32254e+06	860008	1.24611e+06	-1.17507e-09	6.42866e+06	5.96109e+06	
251	453.919	16.0986	465.128	3.38455	179.805	103.026	1.15802	0.336111	0	0.663889	5.84103e+06	905284	1.28884e+06	1.53378e-09	8.03515e+06	7.97334e+06	
53	450.072	16.0693	19.7781	0.739631	149.198	8.06357	1.09149	1	0	0	1.62514e+06	339530	1.02865e+06	-8.76739e-11	2.99332e+06	1.95007e+06	
253	449.812	16.0206	160.102	5.764	150.615	55.0711	0.983859	0.832759	0	0.167241	2.56788e+06	384330	1.0747e+06	6.55033e-10	4.02691e+06	2.84636e+06	
54	450.114	16.0984	24.4916	3.3104	212.68	4.62665	1.07588	1	0	0	2.71357e+06	616024	1.45828e+06	2.53012e-09	4.78787e+06	3.94103e+06	
254	451.61	16.0013	202.189	5.9025	146.249	61.5241	0.955836	0.692414	0	0.307586	2.78254e+06	387037	1.00966e+06	-1.09641e-09	4.17923e+06	3.0218e+06	
