Line_ID	Trip_ID	Vehicle_ID	Start_stop_ID	Start_stop_name	End_stop_id	End_stop_name	Passenger_load	
50	5007	-1	5005	Postjesweg	5006	Station_Lelylaan	0	
50	5007	-1	5006	Station_Lelylaan	5007	Heemstedestraat	0	
50	5007	-1	5007	Heemstedestraat	5008	Henk_Sneevlietweg	0	
50	5007	-1	5008	Henk_Sneevlietweg	5009	Amstelreenseweg	0	
50	5007	-1	5009	Amstelreenseweg	5010	Station_Zuid	3	
50	5007	-1	5010	Station_Zuid	5011	Station_RAI	32	
50	5007	-1	5011	Station_RAI	5012	Overamstel	32	
50	5007	-1	5012	Overamstel	5013	Van_der_Madeweg	30	
50	5007	-1	5013	Van_der_Madeweg	5014	Station_Duivendrecht	21	
50	5007	-1	5014	Station_Duivendrecht	5015	Strandvliet	18	
50	5007	-1	5015	Strandvliet	5016	Station_Bijlmer_ArenA	18	
50	5007	-1	5016	Station_Bijlmer_ArenA	5017	Bullewijk	10	
50	5007	-1	5017	Bullewijk	5018	Station_Holendrecht	7	
50	5007	-1	5018	Station_Holendrecht	5019	Reigersbos	6	
50	5007	-1	5019	Reigersbos	5020	Gein	3	
50	5008	-1	5001	Isolatorweg	5002	Station_Sloterdijk	0	
50	5008	-1	5002	Station_Sloterdijk	5003	Burg_De_Vlugtlaan	0	
50	5008	-1	5003	Burg_De_Vlugtlaan	5004	Jan_van_Galenstraat	0	
50	5008	-1	5004	Jan_van_Galenstraat	5005	Postjesweg	3	
50	5008	-1	5005	Postjesweg	5006	Station_Lelylaan	5	
50	5008	-1	5006	Station_Lelylaan	5007	Heemstedestraat	28	
50	5008	-1	5007	Heemstedestraat	5008	Henk_Sneevlietweg	32	
50	5008	-1	5008	Henk_Sneevlietweg	5009	Amstelreenseweg	74	
50	5008	-1	5009	Amstelreenseweg	5010	Station_Zuid	81	
50	5008	-1	5010	Station_Zuid	5011	Station_RAI	92	
50	5008	-1	5011	Station_RAI	5012	Overamstel	84	
50	5008	-1	5012	Overamstel	5013	Van_der_Madeweg	82	
50	5008	-1	5013	Van_der_Madeweg	5014	Station_Duivendrecht	77	
50	5008	-1	5014	Station_Duivendrecht	5015	Strandvliet	75	
50	5008	-1	5015	Strandvliet	5016	Station_Bijlmer_ArenA	83	
50	5008	-1	5016	Station_Bijlmer_ArenA	5017	Bullewijk	83	
50	5008	-1	5017	Bullewijk	5018	Station_Holendrecht	79	
50	5008	-1	5018	Station_Holendrecht	5019	Reigersbos	58	
50	5008	-1	5019	Reigersbos	5020	Gein	26	
50	5009	-1	5001	Isolatorweg	5002	Station_Sloterdijk	23	
50	5009	-1	5002	Station_Sloterdijk	5003	Burg_De_Vlugtlaan	55	
50	5009	-1	5003	Burg_De_Vlugtlaan	5004	Jan_van_Galenstraat	70	
50	5009	-1	5004	Jan_van_Galenstraat	5005	Postjesweg	93	
50	5009	-1	5005	Postjesweg	5006	Station_Lelylaan	94	
50	5009	-1	5006	Station_Lelylaan	5007	Heemstedestraat	126	
50	5009	-1	5007	Heemstedestraat	5008	Henk_Sneevlietweg	121	
50	5009	-1	5008	Henk_Sneevlietweg	5009	Amstelreenseweg	158	
50	5009	-1	5009	Amstelreenseweg	5010	Station_Zuid	153	
50	5009	-1	5010	Station_Zuid	5011	Station_RAI	156	
50	5009	-1	5011	Station_RAI	5012	Overamstel	141	
50	5009	-1	5012	Overamstel	5013	Van_der_Madeweg	130	
50	5009	-1	5013	Van_der_Madeweg	5014	Station_Duivendrecht	103	
50	5009	-1	5014	Station_Duivendrecht	5015	Strandvliet	96	
50	5009	-1	5015	Strandvliet	5016	Station_Bijlmer_ArenA	102	
50	5009	-1	5016	Station_Bijlmer_ArenA	5017	Bullewijk	96	
50	5009	-1	5017	Bullewijk	5018	Station_Holendrecht	88	
50	5009	-1	5018	Station_Holendrecht	5019	Reigersbos	66	
50	5009	-1	5019	Reigersbos	5020	Gein	32	
50	5010	-1	5001	Isolatorweg	5002	Station_Sloterdijk	39	
50	5010	-1	5002	Station_Sloterdijk	5003	Burg_De_Vlugtlaan	99	
50	5010	-1	5003	Burg_De_Vlugtlaan	5004	Jan_van_Galenstraat	111	
50	5010	-1	5004	Jan_van_Galenstraat	5005	Postjesweg	131	
50	5010	-1	5005	Postjesweg	5006	Station_Lelylaan	126	
50	5010	-1	5006	Station_Lelylaan	5007	Heemstedestraat	164	
50	5010	-1	5007	Heemstedestraat	5008	Henk_Sneevlietweg	158	
50	5010	-1	5008	Henk_Sneevlietweg	5009	Amstelreenseweg	206	
50	5010	-1	5009	Amstelreenseweg	5010	Station_Zuid	188	
50	5010	-1	5010	Station_Zuid	5011	Station_RAI	185	
50	5010	-1	5011	Station_RAI	5012	Overamstel	153	
50	5010	-1	5012	Overamstel	5013	Van_der_Madeweg	141	
50	5010	-1	5013	Van_der_Madeweg	5014	Station_Duivendrecht	107	
50	5010	-1	5014	Station_Duivendrecht	5015	Strandvliet	88	
50	5010	-1	5015	Strandvliet	5016	Station_Bijlmer_ArenA	85	
50	5010	-1	5016	Station_Bijlmer_ArenA	5017	Bullewijk	61	
50	5010	-1	5017	Bullewijk	5018	Station_Holendrecht	54	
50	5010	-1	5018	Station_Holendrecht	5019	Reigersbos	35	
50	5010	-1	5019	Reigersbos	5020	Gein	13	
50	5011	-1	5001	Isolatorweg	5002	Station_Sloterdijk	38	
50	5011	-1	5002	Station_Sloterdijk	5003	Burg_De_Vlugtlaan	95	
50	5011	-1	5003	Burg_De_Vlugtlaan	5004	Jan_van_Galenstraat	105	
50	5011	-1	5004	Jan_van_Galenstraat	5005	Postjesweg	133	
50	5011	-1	5005	Postjesweg	5006	Station_Lelylaan	129	
50	5011	-1	5006	Station_Lelylaan	5007	Heemstedestraat	166	
50	5011	-1	5007	Heemstedestraat	5008	Henk_Sneevlietweg	146	
50	5011	-1	5008	Henk_Sneevlietweg	5009	Amstelreenseweg	184	
50	5011	-1	5009	Amstelreenseweg	5010	Station_Zuid	176	
50	5011	-1	5010	Station_Zuid	5011	Station_RAI	173	
50	5011	-1	5011	Station_RAI	5012	Overamstel	155	
50	5011	-1	5012	Overamstel	5013	Van_der_Madeweg	150	
50	5011	-1	5013	Van_der_Madeweg	5014	Station_Duivendrecht	120	
50	5011	-1	5014	Station_Duivendrecht	5015	Strandvliet	112	
50	5011	-1	5015	Strandvliet	5016	Station_Bijlmer_ArenA	104	
50	5011	-1	5016	Station_Bijlmer_ArenA	5017	Bullewijk	76	
50	5011	-1	5017	Bullewijk	5018	Station_Holendrecht	74	
50	5011	-1	5018	Station_Holendrecht	5019	Reigersbos	55	
50	5011	-1	5019	Reigersbos	5020	Gein	20	
50	5012	-1	5001	Isolatorweg	5002	Station_Sloterdijk	38	
50	5012	-1	5002	Station_Sloterdijk	5003	Burg_De_Vlugtlaan	101	
50	5012	-1	5003	Burg_De_Vlugtlaan	5004	Jan_van_Galenstraat	107	
50	5012	-1	5004	Jan_van_Galenstraat	5005	Postjesweg	124	
50	5012	-1	5005	Postjesweg	5006	Station_Lelylaan	118	
50	5012	-1	5006	Station_Lelylaan	5007	Heemstedestraat	154	
50	5012	-1	5007	Heemstedestraat	5008	Henk_Sneevlietweg	134	
50	5012	-1	5008	Henk_Sneevlietweg	5009	Amstelreenseweg	180	
50	5012	-1	5009	Amstelreenseweg	5010	Station_Zuid	163	
50	5012	-1	5010	Station_Zuid	5011	Station_RAI	166	
50	5012	-1	5011	Station_RAI	5012	Overamstel	145	
50	5012	-1	5012	Overamstel	5013	Van_der_Madeweg	135	
50	5012	-1	5013	Van_der_Madeweg	5014	Station_Duivendrecht	110	
50	5012	-1	5014	Station_Duivendrecht	5015	Strandvliet	101	
50	5012	-1	5015	Strandvliet	5016	Station_Bijlmer_ArenA	98	
50	5012	-1	5016	Station_Bijlmer_ArenA	5017	Bullewijk	79	
50	5012	-1	5017	Bullewijk	5018	Station_Holendrecht	75	
50	5012	-1	5018	Station_Holendrecht	5019	Reigersbos	58	
50	5012	-1	5019	Reigersbos	5020	Gein	33	
50	5013	-1	5001	Isolatorweg	5002	Station_Sloterdijk	31	
50	5013	-1	5002	Station_Sloterdijk	5003	Burg_De_Vlugtlaan	101	
50	5013	-1	5003	Burg_De_Vlugtlaan	5004	Jan_van_Galenstraat	108	
50	5013	-1	5004	Jan_van_Galenstraat	5005	Postjesweg	125	
50	5013	-1	5005	Postjesweg	5006	Station_Lelylaan	123	
50	5013	-1	5006	Station_Lelylaan	5007	Heemstedestraat	152	
50	5013	-1	5007	Heemstedestraat	5008	Henk_Sneevlietweg	134	
50	5013	-1	5008	Henk_Sneevlietweg	5009	Amstelreenseweg	183	
