Line_ID	Upstream_stop_ID	Upstream_stop_name	Downstream_stop_ID	Downstream_stop_name	Passenger_load	
53	5305	Station_Diemen-Zuid	5306	Venserpolder	1413	
53	5125	Nieuwmarkt	5126	Centraal_Station	1791	
53	5306	Venserpolder	25013	Van_der_Madeweg	1709	
53	5124	Waterlooplein	5125	Nieuwmarkt	2488	
53	5120	Spaklerweg	5121	Amstelstation	2083	
53	5302	Kraaiennest_station	5303	Station_Ganzenhoef	414	
53	5301	Gaasperplas	5302	Kraaiennest_station	229	
53	5121	Amstelstation	5122	Wibautstraat	2006	
53	5123	Weesperplein	5124	Waterlooplein	2321	
53	5303	Station_Ganzenhoef	5304	Verrijn_Stuartweg	748	
53	5304	Verrijn_Stuartweg	5305	Station_Diemen-Zuid	1168	
53	25013	Van_der_Madeweg	5120	Spaklerweg	1973	
253	5013	Van_der_Madeweg	25306	Venserpolder	2899	
253	25124	Waterlooplein	25123	Weesperplein	1615	
253	25302	Kraaiennest_station	25301	Gaasperplas	386	
253	25303	Station_Ganzenhoef	25302	Kraaiennest_station	902	
253	25120	Spaklerweg	5013	Van_der_Madeweg	2390	
253	25123	Weesperplein	25122	Wibautstraat	2356	
253	25305	Station_Diemen-Zuid	25304	Verrijn_Stuartweg	1817	
253	25304	Verrijn_Stuartweg	25303	Station_Ganzenhoef	1823	
253	25306	Venserpolder	25305	Station_Diemen-Zuid	2246	
253	25121	Amstelstation	25120	Spaklerweg	2412	
253	25125	Nieuwmarkt	25124	Waterlooplein	1313	
253	25122	Wibautstraat	25121	Amstelstation	2325	
253	25126	Centraal_Station	25125	Nieuwmarkt	902	
54	5122	Wibautstraat	5123	Weesperplein	3430	
54	5125	Nieuwmarkt	5126	Centraal_Station	2102	
54	5124	Waterlooplein	5125	Nieuwmarkt	3047	
54	5120	Spaklerweg	5121	Amstelstation	3789	
54	5121	Amstelstation	5122	Wibautstraat	3419	
54	5123	Weesperplein	5124	Waterlooplein	3059	
54	25018	Station_Holendrecht	25017	Bullewijk	1358	
54	25017	Bullewijk	25016	Station_Bijlmer_ArenA	1972	
54	25019	Reigersbos	25018	Station_Holendrecht	323	
54	25015	Strandvliet	25014	Station_Duivendrecht	3772	
54	25013	Van_der_Madeweg	5120	Spaklerweg	3685	
54	25014	Station_Duivendrecht	25013	Van_der_Madeweg	3760	
54	25020	Gein	25019	Reigersbos	159	
54	25016	Station_Bijlmer_ArenA	25015	Strandvliet	3314	
254	5013	Van_der_Madeweg	5014	Station_Duivendrecht	2582	
254	5014	Station_Duivendrecht	5015	Strandvliet	2418	
254	5015	Strandvliet	5016	Station_Bijlmer_ArenA	2265	
254	5016	Station_Bijlmer_ArenA	5017	Bullewijk	1784	
254	5019	Reigersbos	5020	Gein	497	
254	5018	Station_Holendrecht	5019	Reigersbos	1084	
254	5017	Bullewijk	5018	Station_Holendrecht	1531	
254	25124	Waterlooplein	25123	Weesperplein	1351	
254	25120	Spaklerweg	5013	Van_der_Madeweg	2347	
254	25123	Weesperplein	25122	Wibautstraat	1896	
254	25121	Amstelstation	25120	Spaklerweg	2149	
254	25125	Nieuwmarkt	25124	Waterlooplein	1136	
254	25122	Wibautstraat	25121	Amstelstation	1866	
254	25126	Centraal_Station	25125	Nieuwmarkt	795	
