,",Line_ID,Upstream_stop_ID,Upstream_stop_name,Downstream_stop_ID,Downstream_stop_name,Passenger_load,Unnamed: 6"
89,"89,251,25118,A.J._Ernststraat,25117,Van_Boshuizenstraat,2918,"
90,"90,251,25119,De_Boelelaan/VU,25118,A.J._Ernststraat,2908,"
91,"91,251,25122,Wibautstraat,25121,Amstelstation,2384,"
92,"92,251,25126,Centraal_Station,25125,Nieuwmarkt,882,"
93,"93,251,25116,Uilenstede,25115,Kronenburg,2565,"
94,"94,53,5122,Wibautstraat,5123,Weesperplein,2181,"
95,"95,53,5305,Station_Diemen-Zuid,5306,Venserpolder,1413,"
96,"96,53,5125,Nieuwmarkt,5126,Centraal_Station,1791,"
97,"97,53,5306,Venserpolder,25013,Van_der_Madeweg,1709,"
98,"98,53,5124,Waterlooplein,5125,Nieuwmarkt,2488,"
99,"99,53,5120,Spaklerweg,5121,Amstelstation,2083,"
100,"100,53,5302,Kraaiennest_station,5303,Station_Ganzenhoef,414,"
101,"101,53,5301,Gaasperplas,5302,Kraaiennest_station,229,"
102,"102,53,5121,Amstelstation,5122,Wibautstraat,2006,"
103,"103,53,5123,Weesperplein,5124,Waterlooplein,2321,"
104,"104,53,5303,Station_Ganzenhoef,5304,Verrijn_Stuartweg,748,"
105,"105,53,5304,Verrijn_Stuartweg,5305,Station_Diemen-Zuid,1168,"
106,"106,53,25013,Van_der_Madeweg,5120,Spaklerweg,1973,"
107,"107,253,5013,Van_der_Madeweg,25306,Venserpolder,2899,"
108,"108,253,25124,Waterlooplein,25123,Weesperplein,1615,"
109,"109,253,25302,Kraaiennest_station,25301,Gaasperplas,386,"
110,"110,253,25303,Station_Ganzenhoef,25302,Kraaiennest_station,902,"
111,"111,253,25120,Spaklerweg,5013,Van_der_Madeweg,2390,"
112,"112,253,25123,Weesperplein,25122,Wibautstraat,2356,"
113,"113,253,25305,Station_Diemen-Zuid,25304,Verrijn_Stuartweg,1817,"
114,"114,253,25304,Verrijn_Stuartweg,25303,Station_Ganzenhoef,1823,"
115,"115,253,25306,Venserpolder,25305,Station_Diemen-Zuid,2246,"
