57	{	5390.81	5390.81	5430.39	5550.44	5550.44	}	{5125	5125	5125	5126	5126	}
58	{	5444.87	5444.87	5448.1	5562.85	5562.85	}	{5125	5125	5125	5126	5126	}
59	{	5483.86	5483.86	5644.69	5761.33	5761.33	}	{5125	5125	5125	5126	5126	}
60	{	5492.43	5492.43	5644.69	5761.33	5761.33	}	{5125	5125	5125	5126	5126	}
61	{	5520.69	5520.69	5644.69	5761.33	5761.33	}	{5125	5125	5125	5126	5126	}
62	{	5538.94	5538.94	5644.69	5761.33	5761.33	}	{5125	5125	5125	5126	5126	}
63	{	5550.34	5550.34	5644.69	5761.33	5761.33	}	{5125	5125	5125	5126	5126	}
64	{	5618.24	5618.24	5644.69	5761.33	5761.33	}	{5125	5125	5125	5126	5126	}
65	{	5624.7	5624.7	5644.69	5761.33	5761.33	}	{5125	5125	5125	5126	5126	}
66	{	5631.78	5631.78	5644.69	5761.33	5761.33	}	{5125	5125	5125	5126	5126	}
67	{	5646.87	5646.87	5912.4	6029.11	6029.11	}	{5125	5125	5125	5126	5126	}
68	{	5818.63	5818.63	5912.4	6029.11	6029.11	}	{5125	5125	5125	5126	5126	}
69	{	5821.2	5821.2	5912.4	6029.11	6029.11	}	{5125	5125	5125	5126	5126	}
70	{	5923	5923	6086.9	6203.03	6203.03	}	{5125	5125	5125	5126	5126	}
71	{	5947.19	5947.19	6086.9	6203.03	6203.03	}	{5125	5125	5125	5126	5126	}
72	{	5947.92	5947.92	6086.9	6203.03	6203.03	}	{5125	5125	5125	5126	5126	}
73	{	5985.64	5985.64	6086.9	6203.03	6203.03	}	{5125	5125	5125	5126	5126	}
74	{	6000.98	6000.98	6086.9	6203.03	6203.03	}	{5125	5125	5125	5126	5126	}
75	{	6036.65	6036.65	6086.9	6203.03	6203.03	}	{5125	5125	5125	5126	5126	}
76	{	6068.11	6068.11	6086.9	6203.03	6203.03	}	{5125	5125	5125	5126	5126	}
77	{	6079.23	6079.23	6086.9	6203.03	6203.03	}	{5125	5125	5125	5126	5126	}
78	{	6110.1	6110.1	6369.53	6485.91	6485.91	}	{5125	5125	5125	5126	5126	}
79	{	6117.11	6117.11	6369.53	6485.91	6485.91	}	{5125	5125	5125	5126	5126	}
80	{	6134.78	6134.78	6369.53	6485.91	6485.91	}	{5125	5125	5125	5126	5126	}
81	{	6137.35	6137.35	6369.53	6485.91	6485.91	}	{5125	5125	5125	5126	5126	}
82	{	6168.76	6168.76	6369.53	6485.91	6485.91	}	{5125	5125	5125	5126	5126	}
83	{	6175.74	6175.74	6369.53	6485.91	6485.91	}	{5125	5125	5125	5126	5126	}
84	{	6205.41	6205.41	6369.53	6485.91	6485.91	}	{5125	5125	5125	5126	5126	}
85	{	6251.32	6251.32	6369.53	6485.91	6485.91	}	{5125	5125	5125	5126	5126	}
86	{	6255.5	6255.5	6369.53	6485.91	6485.91	}	{5125	5125	5125	5126	5126	}
87	{	6274.48	6274.48	6369.53	6485.91	6485.91	}	{5125	5125	5125	5126	5126	}
88	{	6345.84	6345.84	6369.53	6485.91	6485.91	}	{5125	5125	5125	5126	5126	}
89	{	6366.18	6366.18	6369.53	6485.91	6485.91	}	{5125	5125	5125	5126	5126	}
90	{	6375.97	6375.97	6404.7	6522.79	6522.79	}	{5125	5125	5125	5126	5126	}
91	{	6393.7	6393.7	6404.7	6522.79	6522.79	}	{5125	5125	5125	5126	5126	}
92	{	6438.22	6438.22	6543.09	6662.31	6662.31	}	{5125	5125	5125	5126	5126	}
93	{	6461.49	6461.49	6543.09	6662.31	6662.31	}	{5125	5125	5125	5126	5126	}
94	{	6463.07	6463.07	6543.09	6662.31	6662.31	}	{5125	5125	5125	5126	5126	}
95	{	6503.7	6503.7	6543.09	6662.31	6662.31	}	{5125	5125	5125	5126	5126	}
96	{	6507.21	6507.21	6543.09	6662.31	6662.31	}	{5125	5125	5125	5126	5126	}
97	{	6663.24	6663.24	6803.37	6921.56	6921.56	}	{5125	5125	5125	5126	5126	}
98	{	6666.01	6666.01	6803.37	6921.56	6921.56	}	{5125	5125	5125	5126	5126	}
99	{	6700.29	6700.29	6803.37	6921.56	6921.56	}	{5125	5125	5125	5126	5126	}
100	{	6745.04	6745.04	6803.37	6921.56	6921.56	}	{5125	5125	5125	5126	5126	}
101	{	6778.9	6778.9	6803.37	6921.56	6921.56	}	{5125	5125	5125	5126	5126	}
102	{	6782.17	6782.17	6803.37	6921.56	6921.56	}	{5125	5125	5125	5126	5126	}
103	{	6782.34	6782.34	6803.37	6921.56	6921.56	}	{5125	5125	5125	5126	5126	}
104	{	6791.77	6791.77	6803.37	6921.56	6921.56	}	{5125	5125	5125	5126	5126	}
105	{	6795.49	6795.49	6803.37	6921.56	6921.56	}	{5125	5125	5125	5126	5126	}
106	{	6841.58	6841.58	6888.13	7005.66	7005.66	}	{5125	5125	5125	5126	5126	}
107	{	6865.19	6865.19	6888.13	7005.66	7005.66	}	{5125	5125	5125	5126	5126	}
108	{	6896.7	6896.7	6991.68	7108.97	7108.97	}	{5125	5125	5125	5126	5126	}
109	{	6898.34	6898.34	6991.68	7108.97	7108.97	}	{5125	5125	5125	5126	5126	}
110	{	6914.37	6914.37	6991.68	7108.97	7108.97	}	{5125	5125	5125	5126	5126	}
111	{	6944.26	6944.26	6991.68	7108.97	7108.97	}	{5125	5125	5125	5126	5126	}
112	{	6945.69	6945.69	6991.68	7108.97	7108.97	}	{5125	5125	5125	5126	5126	}
113	{	6983.33	6983.33	6991.68	7108.97	7108.97	}	{5125	5125	5125	5126	5126	}
114	{	7009.05	7009.05	7216.84	7335.69	7335.69	}	{5125	5125	5125	5126	5126	}
115	{	7047.66	7047.66	7216.84	7335.69	7335.69	}	{5125	5125	5125	5126	5126	}
116	{	7119.69	7119.69	7216.84	7335.69	7335.69	}	{5125	5125	5125	5126	5126	}
117	{	7171.57	7171.57	7216.84	7335.69	7335.69	}	{5125	5125	5125	5126	5126	}
118	{	7181.73	7181.73	7216.84	7335.69	7335.69	}	{5125	5125	5125	5126	5126	}
119	{	7206.22	7206.22	7216.84	7335.69	7335.69	}	{5125	5125	5125	5126	5126	}
120	{	7219.17	7219.17	7268.11	7383.14	7383.14	}	{5125	5125	5125	5126	5126	}
121	{	7223.39	7223.39	7268.11	7383.14	7383.14	}	{5125	5125	5125	5126	5126	}
122	{	7240.27	7240.27	7268.11	7383.14	7383.14	}	{5125	5125	5125	5126	5126	}
123	{	7277.14	7277.14	7436.39	7552.64	7552.64	}	{5125	5125	5125	5126	5126	}
124	{	7339.45	7339.45	7436.39	7552.64	7552.64	}	{5125	5125	5125	5126	5126	}
125	{	7365.4	7365.4	7436.39	7552.64	7552.64	}	{5125	5125	5125	5126	5126	}
126	{	7376.43	7376.43	7436.39	7552.64	7552.64	}	{5125	5125	5125	5126	5126	}
127	{	7407.84	7407.84	7436.39	7552.64	7552.64	}	{5125	5125	5125	5126	5126	}
128	{	7419.56	7419.56	7436.39	7552.64	7552.64	}	{5125	5125	5125	5126	5126	}
129	{	7428.96	7428.96	7436.39	7552.64	7552.64	}	{5125	5125	5125	5126	5126	}
130	{	7443.59	7443.59	7702.41	7821.29	7821.29	}	{5125	5125	5125	5126	5126	}
131	{	7449.98	7449.98	7702.41	7821.29	7821.29	}	{5125	5125	5125	5126	5126	}
132	{	7473.86	7473.86	7702.41	7821.29	7821.29	}	{5125	5125	5125	5126	5126	}
133	{	7490.25	7490.25	7702.41	7821.29	7821.29	}	{5125	5125	5125	5126	5126	}
134	{	7508.64	7508.64	7702.41	7821.29	7821.29	}	{5125	5125	5125	5126	5126	}
135	{	7552.26	7552.26	7702.41	7821.29	7821.29	}	{5125	5125	5125	5126	5126	}
136	{	7558.72	7558.72	7702.41	7821.29	7821.29	}	{5125	5125	5125	5126	5126	}
137	{	7574.92	7574.92	7702.41	7821.29	7821.29	}	{5125	5125	5125	5126	5126	}
138	{	7575.45	7575.45	7702.41	7821.29	7821.29	}	{5125	5125	5125	5126	5126	}
139	{	7638.19	7638.19	7702.41	7821.29	7821.29	}	{5125	5125	5125	5126	5126	}
