,0,1,2,3,4,5
0,50,20,"['0', '120', '120', '120', '60', '120', '60', '120', '180', '180', '60', '180', '180', '60', '120', '120', '60', '120', '60', '120']",180,450,32
1,250,20,"['0', '120', '120', '120', '60', '120', '60', '120', '120', '180', '120', '180', '120', '120', '60', '120', '60', '120', '120', '60']",180,450,32
2,51,29,"['0', '60', '60', '120', '60', '60', '60', '60', '60', '60', '120', '60', '60', '60', '60', '120', '60', '120', '60', '240', '60', '180', '180', '60', '120', '60', '120', '60', '120']",360,450,32
3,251,29,"['0', '60', '60', '120', '60', '120', '120', '120', '180', '120', '120', '120', '60', '60', '120', '60', '60', '60', '60', '60', '60', '60', '60', '60', '60', '120', '60', '60', '60']",180,450,32
4,53,14,"['0', '60', '120', '60', '120', '60', '180', '120', '60', '120', '60', '120', '60', '120']",300,450,32
5,253,14,"['0', '60', '60', '120', '60', '120', '120', '120', '120', '60', '120', '60', '120', '60']",60,450,32
6,54,15,"['0', '120', '120', '120', '60', '120', '60', '120', '120', '60', '120', '60', '120', '60', '120']",360,450,32
7,254,15,"['0', '60', '60', '120', '60', '120', '120', '120', '60', '120', '120', '60', '120', '60', '120']",360,450,32
